Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito
8.590001,-88.054012,-0.000179,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027595,-0.000003
8.595001,-88.054013,-0.000178,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027595,-0.000003
8.600001,-88.054014,-0.000178,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027595,-0.000003
8.605001,-88.054015,-0.000178,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027595,-0.000003
8.610001,-88.054016,-0.000178,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027595,-0.000003
8.615001,-88.054017,-0.000178,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027595,-0.000003
8.620001,-88.054017,-0.000178,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027596,-0.000003
8.625001,-88.054018,-0.000177,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027596,-0.000003
8.630001,-88.054019,-0.000177,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027596,-0.000003
8.635001,-88.054020,-0.000177,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027596,-0.000003
8.640001,-88.054021,-0.000177,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027596,-0.000003
8.645001,-88.054022,-0.000177,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027596,-0.000003
8.650001,-88.054023,-0.000177,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027597,-0.000003
8.655001,-88.054024,-0.000177,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027597,-0.000003
8.660001,-88.054025,-0.000176,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027597,-0.000003
8.665001,-88.054025,-0.000176,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027597,-0.000003
8.670001,-88.054026,-0.000176,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027597,-0.000003
8.675001,-88.054027,-0.000176,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027597,-0.000003
